timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
278619516,278618675,71315384,38.97361176678716,-76.9219165064937,-2.1679747,1.4393342,0.55378854,0.036267716,-0.014497595,-0.0046971543,0.0007683526,-0.0052329656,0.0059352526,0.004038332,0.00042390026,-0.0013321475,0.0012392444,-0.051162817,-0.71304756,0.2857305,0.526826,-0.2478839,12.486519,0.1,0.09527707,0.018689543,0.07324817,0.02664366,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
278720473,278719923,71315384,38.97361176678716,-76.9219165064937,-2.1687748,1.4382849,0.55408686,0.036267716,-0.014497595,-0.0046971543,0.0072588716,-0.0054878853,0.0067434665,0.0047601205,0.00042390026,-0.0013321475,0.0012392444,0.721813,0.22617762,0.36604702,0.5266565,-0.2478839,12.486519,0.1,0.096588746,0.019016791,0.07431687,0.027376985,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
278784662,278784108,71315384,38.97361176678716,-76.9219165064937,-2.170305,1.4369726,0.55416304,0.036267716,-0.014497595,-0.0046971543,0.003707672,-0.007241182,0.00585394,0.0037970194,0.00042390026,-0.0013321475,0.0012392444,-0.019793916,-0.65086246,0.16686903,0.52661407,-0.2478839,12.486519,0.1,0.09520199,0.018720916,0.07266327,0.026608272,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
278887165,278886585,71315384,38.97361176678716,-76.9219165064937,-2.1712236,1.4357862,0.55432737,0.036267716,-0.014497595,-0.0046971543,0.0070216944,-0.0030740653,0.0049305744,0.002767202,0.00042390026,-0.0013321475,0.0012392444,-0.11975654,0.33998236,0.22121403,0.5263459,-0.2478839,12.486519,0.1,0.09604542,0.0189006,0.0732328,0.027009083,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
278989665,278984131,71315384,38.97361176678716,-76.9219165064937,-2.1727169,1.4341316,0.5543451,0.036267716,-0.014497595,-0.0046971543,-0.0008219986,-0.0058014276,0.0008747153,-0.0013227898,0.00042390026,-0.0013321475,0.0012392444,-0.37980783,-0.9747377,-1.4720368,0.5263067,-0.2478839,12.486519,0.1,0.09509147,0.018742235,0.07239783,0.026615335,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
279090858,279086603,71315384,38.97361176678716,-76.9219165064937,-2.173966,1.4325308,0.55423397,0.036267716,-0.014497595,-0.0046971543,0.003297238,-0.0017455837,0.00024093571,-0.0019355665,0.00042390026,-0.0013321475,0.0012392444,-1.1192834,0.6176387,-0.9030291,0.5260999,-0.2478839,12.486519,0.1,0.09469275,0.018491276,0.072347976,0.02611671,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
279186040,279185368,71315384,38.97361176678716,-76.9219165064937,-2.1757634,1.4310198,0.554054,0.036267716,-0.014497595,-0.0046971543,0.0035976642,-0.0077815186,0.0013034887,-0.00072915363,0.00042390026,-0.0013321475,0.0012392444,0.12203728,-0.16173044,-0.29531476,0.5260239,-0.2478839,12.486519,0.1,0.09395123,0.018407589,0.07205369,0.026096074,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
279287245,279282915,71315384,38.97361176678716,-76.9219165064937,-2.1770298,1.4298872,0.5539979,0.036267716,-0.014497595,-0.0046971543,0.005742094,-0.003644468,-0.00019801938,-0.002117664,0.00042390026,-0.0013321475,0.0012392444,0.37753108,0.14485066,-0.50558156,0.5258421,-0.2478839,12.486519,0.1,0.09374648,0.01823904,0.07213685,0.025947398,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
279367435,279366857,71315384,38.97361176678716,-76.9219165064937,-2.1783412,1.4287581,0.5539926,0.036267716,-0.014497595,-0.0046971543,0.0015357684,-0.0006921419,0.0014143956,-0.00040458475,0.00042390026,-0.0013321475,0.0012392444,-1.1691904,1.1464016,0.23051473,0.5256951,-0.2478839,12.486519,0.1,0.09349727,0.018347662,0.071993686,0.026317183,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
279483719,279479195,71315384,38.97361176678716,-76.9219165064937,-2.1804779,1.4271541,0.5539535,0.036267716,-0.014497595,-0.0046971543,0.0056187594,-0.0048294677,-0.0006678155,-0.002334503,0.00042390026,-0.0013321475,0.0012392444,0.67852676,0.10926772,0.3343873,0.525639,-0.2478839,12.486519,0.1,0.09262461,0.017942956,0.07167302,0.025562098,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
