timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
351343321,0.055674598,0.031686846,1.57079,0.0,0.70705813,0.008480844,0.030877087,0.70643,0.0,0.0,-0.41697904,0,0
351402438,0.06325682,0.028022863,1.57079,0.0,0.70699924,0.012456544,0.032261003,0.7063683,0.0,0.0,-0.41472507,0,0
351478901,0.058205537,0.027105546,1.57079,0.0,0.7070235,0.01099516,0.030152844,0.70646137,0.0,0.0,-0.41977784,0,0
351513561,0.06627058,0.03746376,1.57079,0.0,0.70703566,0.010184516,0.036659155,0.70615363,0.0,0.0,-0.41483754,0,0
351567978,0.06591865,0.036515117,1.57079,0.0,0.70703256,0.010395457,0.036199942,0.7061774,0.0,0.0,-0.41920054,0,0
351602614,0.066996664,0.039321247,1.57079,0.0,0.7070413,0.009784542,0.037571326,0.7061057,0.0,0.0,-0.41182175,0,0
351653015,0.0609798,0.030042134,1.57079,0.0,0.7070244,0.010937781,0.03216997,0.70637244,0.0,0.0,-0.41728255,0,0
351699884,0.06865798,0.042045306,1.57079,0.0,0.7070464,0.0094088465,0.039119504,0.70602167,0.0,0.0,-0.41553745,0,0
351755625,0.058445733,0.042387005,1.57079,0.0,0.7070862,0.0056776684,0.035634637,0.7062061,0.0,0.0,-0.42066777,0,0
351806063,0.051585194,0.03993943,1.57079,0.0,0.70709705,0.0041174795,0.032347538,0.7063642,0.0,0.0,-0.4278988,0,0
351846985,0.06267113,0.030463774,1.57079,0.0,0.7070173,0.011386636,0.03291623,0.70633805,0.0,0.0,-0.42222527,0,0
351904870,0.049136803,0.031714432,1.57079,0.0,0.70708215,0.00615975,0.02857742,0.7065268,0.0,0.0,-0.42127421,0,0
351949313,0.06448378,0.030486807,1.57079,0.0,0.7070069,0.012019269,0.033564515,0.70630753,0.0,0.0,-0.41747886,0,0
352004845,0.05198045,0.035552118,1.57079,0.0,0.70708513,0.005808324,0.03093754,0.70642745,0.0,0.0,-0.42128706,0,0
352035900,0.05344268,0.025357326,1.57079,0.0,0.7070393,0.009929433,0.02785277,0.70655584,0.0,0.0,-0.42346397,0,0
352075494,0.04801449,0.023001105,1.57079,0.0,0.7070537,0.008843415,0.025102498,0.70665884,0.0,0.0,-0.4227993,0,0
352139443,0.05145696,0.029617919,1.57079,0.0,0.70706683,0.0077212034,0.028656423,0.70652366,0.0,0.0,-0.42087737,0,0
352181485,0.04076531,0.02446789,1.57079,0.0,0.7070855,0.005762018,0.023059314,0.70672846,0.0,0.0,-0.42637706,0,0
352238157,0.04573855,0.025213541,1.57079,0.0,0.7070718,0.0072566383,0.025080066,0.70665956,0.0,0.0,-0.42339322,0,0
352302437,0.0450432,0.022079915,1.57079,0.0,0.7070624,0.008118642,0.02372712,0.70670635,0.0,0.0,-0.41935027,0,0
352354449,0.04066128,0.02162288,1.57079,0.0,0.70707697,0.0067310575,0.022017192,0.7067616,0.0,0.0,-0.42475688,0,0
352434671,0.038080245,0.018390903,1.57079,0.0,0.7070747,0.0069611836,0.019962892,0.7068227,0.0,0.0,-0.42250288,0,0
352485342,0.03899949,0.021311445,1.57079,0.0,0.7070814,0.0062536546,0.021319885,0.70678306,0.0,0.0,-0.42137066,0,0
352524627,0.0425303,0.02234042,1.57079,0.0,0.707073,0.0071381517,0.02293122,0.70673263,0.0,0.0,-0.4195087,0,0
352557858,0.039022565,0.030568032,1.57079,0.0,0.7071027,0.0029891967,0.024599018,0.7066765,0.0,0.0,-0.42655265,0,0
352596473,0.039825294,0.03236996,1.57079,0.0,0.7071041,0.0026359318,0.025519328,0.7066439,0.0,0.0,-0.42230925,0,0
352630958,0.043654885,0.021885537,1.57079,0.0,0.70706713,0.0076965466,0.023167863,0.70672494,0.0,0.0,-0.4193562,0,0
352699070,0.040754907,0.027366344,1.57079,0.0,0.7070932,0.004733612,0.024079826,0.7066943,0.0,0.0,-0.4250284,0,0
